무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
F7618,충청남도,천안시 서북구,일반국도,23,23호 국도,1,,충청남도 천안시 서북구 입장면 시장리 22-9,36.90168753,127.2190134,시장교차로전,1,70,,,99.0,2014.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F7619,충청남도,천안시 서북구,일반국도,1,이봉주로,2,,충청남도 천안시 서북구 성거읍 소우리 182-8,36.87875947,127.1717401,천안인애학교 앞,1,30,,,2.0,2014.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F8609,충청남도,천안시 서북구,시도,,성진로,3,충청남도 천안시 서북구 성진로 348,충청남도 천안시 서북구 직산읍 판정리 350-6,36.90805242,127.1710743,한국타이어 앞,1,60,,,99.0,2016.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F8610,충청남도,천안시 서북구,일반국도,23,망향로,3,충청남도 천안시 서북구 망향로 345,충청남도 천안시 서북구 성거읍 요방리 102-22,36.85121775,127.1833563,육영아파트입구3가,2,60,,,99.0,2016.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F8612,충청남도,천안시 동남구,일반국도,21,남부대로,3,,충청남도 천안시 동남구 청당동 22-23,36.78117217,127.158388,벽산아파트 입구 3가,1,50,,,99.0,2016.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F8613,충청남도,천안시 동남구,시도,,충무로,3,,충청남도 천안시 동남구 다가동 494,36.79873822,127.1386839,천안일봉초등학교 정문 옆,1,50,,,99.0,2016.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F8614,충청남도,천안시 동남구,지방도,696,매봉로,3,,충청남도 천안시 동남구 병천면 송정리 513-1,36.73668486,127.3303238,송정3교차로,2,80,,,99.0,2016.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F7835,충청남도,천안시 서북구,시도,,충무로,3,,충청남도 천안시 서북구 불당동 722,36.80915158,127.1077252,불당아이파크 앞,1,60,,,99.0,2014.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F7837,충청남도,천안시 동남구,지방도,696,696지방도,3,,충청남도 천안시 동남구 병천면 용두리 555-3,36.74784167,127.3109041,만화교차로,2,80,,,99.0,2014.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F7838,충청남도,천안시 동남구,일반국도,21,21번 국도,3,,충청남도 천안시 동남구 동면 화계리 240-5,36.77134672,127.3374985,반계마을 앞,1,50,,,99.0,2014.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
F7212,충청남도,천안시,일반국도,629,629지방도,1,충청남도 천안시 동남구 광풍로 1021,충청남도 천안시 동남구 광덕면 매당리 796,36.7134609,127.116819,광풍중학교 앞,1,50,,,99.0,2013.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0270,충청남도,천안시 서북구,시도,,음봉로,3,,충청남도 천안시 서북구 불당동 2-9,36.82430556,127.1046389,자동차검사소 삼거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0271,충청남도,천안시 서북구,시도,,공단6로,3,,충청남도 천안시 서북구 차암동 520,36.84158333,127.1042501,한화꿈에그린@ 정문 사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0272,충청남도,천안시 서북구,시도,,불당19로,1,,충청남도 천안시 서북구 불당동 1931,36.80823243,127.1032959,불당호반1차아파트 입구 사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0273,충청남도,천안시 동남구,지방도,510,매봉로,2,,충청남도 천안시 동남구 병천면 용두리 578,36.74780556,127.3107501,만화교차로,2,80,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0274,충청남도,천안시 동남구,시도,,풍세로,1,,충청남도 천안시 동남구 용곡동 116-40,36.77855556,127.1404722,용곡신도브래뉴 사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0275,충청남도,천안시 동남구,시도,,천안대로,2,,충청남도 천안시 동남구 신부동 431,36.82441667,127.1599444,도솔공원 입구,1,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0553,충청남도,천안시 서북구,지방도,1,상덕로,2,,충청남도 천안시 서북구 직산읍 양당리 산55-2,36.87016667,127.1187501,동보아파트 앞,1,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
G0554,충청남도,천안시 서북구,시도,,불당22대로,2,,충청남도 천안시 서북구 불당동 1865,36.82195027,127.1079251,지웰더샵 106동 뒤 사거리,2,50,,,99.0,2017.0,충청남도경찰청,041-336-2152,2025-03-28,1320000,경찰청
