사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,구분
104490,2020058,4413111800,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 신부동(터미널사거리 부근),16,17,0,4,13,0,127.15814457,36.81887156,"{""type"":""Polygon"",""coordinates"":[[[127.15926579,36.81887478],[127.15926118,36.81895333],[127.15924806,36.81903126],[127.15922655,36.81910798],[127.15919681,36.8191829],[127.15915905,36.81925545],[127.15911358,36.81932507],[127.15906073,36.81939125],[127.1590009,36.81945347],[127.15893456,36.81951126],[127.15886221,36.81956418],[127.1587844,36.81961183],[127.15870171,36.81965385],[127.15861479,36.81968991],[127.15852428,36.81971975],[127.15843089,36.81974313],[127.15833532,36.81975988],[127.1582383,36.81976986],[127.15814056,36.81977301],[127.15804285,36.8197693],[127.15794592,36.81975876],[127.1578505,36.81974146],[127.15775731,36.81971754],[127.15766708,36.81968719],[127.15758048,36.81965063],[127.15749817,36.81960814],[127.15742078,36.81956004],[127.1573489,36.8195067],[127.15728308,36.81944853],[127.15722381,36.81938597],[127.15717155,36.81931949],[127.15712669,36.8192496],[127.15708959,36.81917684],[127.15706051,36.81910175],[127.15703968,36.81902491],[127.15702726,36.81894691],[127.15702334,36.81886833],[127.15702796,36.81878977],[127.15704108,36.81871184],[127.15706259,36.81863513],[127.15709234,36.81856021],[127.15713009,36.81848766],[127.15717557,36.81841804],[127.15722842,36.81835186],[127.15728824,36.81828964],[127.15735458,36.81823185],[127.15742694,36.81817893],[127.15750475,36.81813128],[127.15758743,36.81808926],[127.15767436,36.8180532],[127.15776486,36.81802336],[127.15785825,36.81799998],[127.15795382,36.81798324],[127.15805084,36.81797325],[127.15814858,36.8179701],[127.15824628,36.81797381],[127.15834321,36.81798436],[127.15843863,36.81800165],[127.15853181,36.81802557],[127.15862204,36.81805592],[127.15870865,36.81809249],[127.15879095,36.81813498],[127.15886834,36.81818307],[127.15894022,36.81823641],[127.15900604,36.81829458],[127.15906531,36.81835714],[127.15911757,36.81842362],[127.15916243,36.8184935],[127.15919954,36.81856627],[127.15922862,36.81864135],[127.15924945,36.81871819],[127.15926187,36.8187962],[127.15926579,36.81887478]]]}",이륜차 사고다발지역
104438,2020058,4413310700,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 쌍용동(현대증권 부근),23,27,0,11,12,4,127.12651821,36.79975464,"{""type"":""Polygon"",""coordinates"":[[[127.12763915,36.79975816],[127.1276345,36.79983671],[127.12762136,36.79991464],[127.12759982,36.79999135],[127.12757005,36.80006626],[127.12753228,36.8001388],[127.12748679,36.80020841],[127.12743392,36.80027458],[127.12737409,36.80033678],[127.12730774,36.80039455],[127.12723539,36.80044746],[127.12715757,36.80049509],[127.12707489,36.80053708],[127.12698797,36.80057312],[127.12689748,36.80060294],[127.1268041,36.80062629],[127.12670855,36.80064301],[127.12661154,36.80065297],[127.12651383,36.8006561],[127.12641615,36.80065236],[127.12631924,36.80064179],[127.12622385,36.80062447],[127.1261307,36.80060053],[127.1260405,36.80057015],[127.12595394,36.80053356],[127.12587167,36.80049105],[127.12579432,36.80044293],[127.12572248,36.80038958],[127.12565669,36.80033139],[127.12559747,36.80026881],[127.12554525,36.80020232],[127.12550043,36.80013242],[127.12546336,36.80005965],[127.12543432,36.79998455],[127.12541353,36.79990771],[127.12540115,36.7998297],[127.12539726,36.79975112],[127.12540191,36.79967256],[127.12541506,36.79959464],[127.1254366,36.79951792],[127.12546637,36.79944302],[127.12550414,36.79937048],[127.12554964,36.79930086],[127.1256025,36.7992347],[127.12566233,36.7991725],[127.12572868,36.79911473],[127.12580104,36.79906182],[127.12587885,36.79901419],[127.12596153,36.7989722],[127.12604845,36.79893616],[127.12613894,36.79890635],[127.12623232,36.79888299],[127.12632787,36.79886627],[127.12642487,36.79885631],[127.12652258,36.79885319],[127.12662026,36.79885693],[127.12671716,36.79886749],[127.12681255,36.79888482],[127.1269057,36.79890876],[127.1269959,36.79893913],[127.12708246,36.79897572],[127.12716473,36.79901823],[127.12724208,36.79906635],[127.12731392,36.7991197],[127.1273797,36.79917789],[127.12743893,36.79924047],[127.12749115,36.79930696],[127.12753597,36.79937686],[127.12757304,36.79944963],[127.12760208,36.79952472],[127.12762288,36.79960157],[127.12763526,36.79967958],[127.12763915,36.79975816]]]}",이륜차 사고다발지역
104223,2020058,4413310400,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 두정동(원두정8길서부대로 부근),22,28,0,6,19,3,127.13339817,36.83304351,"{""type"":""Polygon"",""coordinates"":[[[127.1345196,36.83304696],[127.13451496,36.83312552],[127.13450182,36.83320345],[127.13448028,36.83328016],[127.1344505,36.83335507],[127.13441272,36.83342761],[127.13436721,36.83349723],[127.13431433,36.83356339],[127.13425448,36.8336256],[127.13418811,36.83368337],[127.13411572,36.83373628],[127.13403788,36.83378392],[127.13395517,36.83382592],[127.13386822,36.83386196],[127.13377769,36.83389178],[127.13368427,36.83391514],[127.13358867,36.83393187],[127.13349163,36.83394183],[127.13339387,36.83394496],[127.13329615,36.83394123],[127.1331992,36.83393066],[127.13310377,36.83391335],[127.13301058,36.83388941],[127.13292033,36.83385904],[127.13283373,36.83382246],[127.13275142,36.83377995],[127.13267403,36.83373184],[127.13260216,36.83367848],[127.13253634,36.8336203],[127.13247708,36.83355772],[127.13242483,36.83349124],[127.13237999,36.83342134],[127.1323429,36.83334857],[127.13231384,36.83327348],[127.13229303,36.83319664],[127.13228064,36.83311863],[127.13227675,36.83304005],[127.13228139,36.83296149],[127.13229453,36.83288357],[127.13231607,36.83280685],[127.13234585,36.83273194],[127.13238364,36.8326594],[127.13242914,36.83258979],[127.13248203,36.83252362],[127.13254188,36.83246142],[127.13260825,36.83240364],[127.13268063,36.83235073],[127.13275848,36.8323031],[127.13284119,36.8322611],[127.13292814,36.83222506],[127.13301867,36.83219524],[127.13311208,36.83217188],[127.13320768,36.83215515],[127.13330472,36.83214519],[127.13340247,36.83214206],[127.1335002,36.83214579],[127.13359714,36.83215636],[127.13369257,36.83217367],[127.13378576,36.83219761],[127.133876,36.83222798],[127.13396261,36.83226456],[127.13404491,36.83230707],[127.1341223,36.83235518],[127.13419418,36.83240853],[127.13425999,36.83246672],[127.13431925,36.83252929],[127.1343715,36.83259578],[127.13441634,36.83266567],[127.13445344,36.83273844],[127.1344825,36.83281353],[127.13450331,36.83289038],[127.13451571,36.83296838],[127.1345196,36.83304696]]]}",이륜차 사고다발지역
104549,2020058,4413310200,44133003,충청남도 천안시 서북구3,충청남도 천안시 서북구 성정동(쌍용대로성정중9길 부근),21,29,0,8,19,2,127.13778498,36.83032299,"{""type"":""Polygon"",""coordinates"":[[[127.13890637,36.8303264],[127.13890173,36.83040495],[127.1388886,36.83048288],[127.13886706,36.83055959],[127.13883729,36.83063451],[127.13879951,36.83070705],[127.13875401,36.83077667],[127.13870114,36.83084283],[127.13864129,36.83090504],[127.13857492,36.83096282],[127.13850255,36.83101573],[127.13842471,36.83106337],[127.138342,36.83110537],[127.13825505,36.83114142],[127.13816453,36.83117124],[127.13807112,36.83119461],[127.13797553,36.83121134],[127.13787848,36.8312213],[127.13778073,36.83122444],[127.13768301,36.83122071],[127.13758607,36.83121015],[127.13749064,36.83119284],[127.13739745,36.8311689],[127.13730721,36.83113853],[127.1372206,36.83110196],[127.13713829,36.83105945],[127.1370609,36.83101134],[127.13698903,36.83095799],[127.13692321,36.83089981],[127.13686395,36.83083724],[127.1368117,36.83077075],[127.13676686,36.83070086],[127.13672976,36.83062809],[127.1367007,36.83055299],[127.13667989,36.83047615],[127.13666749,36.83039814],[127.13666359,36.83031957],[127.13666823,36.83024101],[127.13668137,36.83016308],[127.13670291,36.83008637],[127.13673268,36.83001146],[127.13677046,36.82993892],[127.13681596,36.8298693],[127.13686884,36.82980313],[127.13692869,36.82974092],[127.13699505,36.82968315],[127.13706743,36.82963024],[127.13714527,36.8295826],[127.13722797,36.8295406],[127.13731492,36.82950455],[127.13740544,36.82947473],[127.13749885,36.82945137],[127.13759444,36.82943464],[127.13769148,36.82942467],[127.13778923,36.82942154],[127.13788695,36.82942526],[127.13798389,36.82943582],[127.13807932,36.82945314],[127.13817251,36.82947707],[127.13826275,36.82950744],[127.13834935,36.82954401],[127.13843166,36.82958652],[127.13850905,36.82963463],[127.13858092,36.82968798],[127.13864674,36.82974616],[127.138706,36.82980873],[127.13875825,36.82987522],[127.1388031,36.82994511],[127.13884019,36.83001788],[127.13886926,36.83009297],[127.13889007,36.83016981],[127.13890247,36.83024782],[127.13890637,36.8303264]]]}",이륜차 사고다발지역
104510,2020058,4413310400,44133004,충청남도 천안시 서북구4,충청남도 천안시 서북구 두정동(두정로쌍용대로 부근),17,22,0,9,13,0,127.13811635,36.8337766,"{""type"":""Polygon"",""coordinates"":[[[127.13923779,36.83378001],[127.13923315,36.83385856],[127.13922002,36.83393649],[127.13919848,36.83401321],[127.13916871,36.83408812],[127.13913093,36.83416066],[127.13908543,36.83423028],[127.13903255,36.83429644],[127.1389727,36.83435865],[127.13890633,36.83441643],[127.13883395,36.83446934],[127.13875611,36.83451698],[127.1386734,36.83455898],[127.13858645,36.83459503],[127.13849592,36.83462485],[127.1384025,36.83464822],[127.13830691,36.83466495],[127.13820986,36.83467492],[127.1381121,36.83467805],[127.13801438,36.83467432],[127.13791743,36.83466376],[127.137822,36.83464645],[127.1377288,36.83462252],[127.13763856,36.83459215],[127.13755195,36.83455557],[127.13746963,36.83451307],[127.13739224,36.83446495],[127.13732036,36.83441161],[127.13725454,36.83435342],[127.13719528,36.83429085],[127.13714303,36.83422437],[127.13709818,36.83415447],[127.13706109,36.8340817],[127.13703202,36.83400661],[127.13701121,36.83392977],[127.13699881,36.83385176],[127.13699491,36.83377318],[127.13699955,36.83369463],[127.13701269,36.8336167],[127.13703423,36.83353999],[127.137064,36.83346507],[127.13710178,36.83339253],[127.13714728,36.83332292],[127.13720016,36.83325675],[127.13726001,36.83319454],[127.13732638,36.83313676],[127.13739876,36.83308385],[127.1374766,36.83303622],[127.13755931,36.83299421],[127.13764626,36.83295817],[127.13773679,36.83292835],[127.13783021,36.83290498],[127.1379258,36.83288825],[127.13802284,36.83287828],[127.1381206,36.83287515],[127.13821832,36.83287888],[127.13831527,36.83288944],[127.1384107,36.83290675],[127.13850389,36.83293068],[127.13859413,36.83296105],[127.13868074,36.83299763],[127.13876305,36.83304013],[127.13884044,36.83308824],[127.13891232,36.83314159],[127.13897814,36.83319977],[127.13903741,36.83326234],[127.13908966,36.83332883],[127.13913451,36.83339872],[127.13917161,36.83347149],[127.13920067,36.83354658],[127.13922149,36.83362342],[127.13923389,36.83370143],[127.13923779,36.83378001]]]}",이륜차 사고다발지역
6773866,2022032,4413111800,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 신부동(역말오거리 부근),4,8,0,5,3,0,127.15318482632,36.824698691392,"{""type"":""Polygon"",""coordinates"":[[[127.15408314,36.82469869],[127.15406588,36.82455841],[127.15401476,36.82442351],[127.15393175,36.82429919],[127.15382003,36.82419023],[127.1536839,36.8241008],[127.1535286,36.82403435],[127.15336008,36.82399343],[127.15318483,36.82397961],[127.15300957,36.82399343],[127.15284106,36.82403435],[127.15268575,36.8241008],[127.15254962,36.82419023],[127.1524379,36.82429919],[127.15235489,36.82442351],[127.15230377,36.82455841],[127.15228651,36.82469869],[127.15230377,36.82483898],[127.15235489,36.82497387],[127.1524379,36.82509819],[127.15254962,36.82520715],[127.15268575,36.82529658],[127.15284106,36.82536303],[127.15300957,36.82540395],[127.15318483,36.82541777],[127.15336008,36.82540395],[127.1535286,36.82536303],[127.1536839,36.82529658],[127.15382003,36.82520715],[127.15393175,36.82509819],[127.15401476,36.82497387],[127.15406588,36.82483898],[127.15408314,36.82469869]]]}",이륜차 사고다발지역
6773449,2022032,4413310400,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 두정동(대전충남양돈농협신두 부근),4,7,0,4,3,0,127.138341147227,36.833669108643,"{""type"":""Polygon"",""coordinates"":[[[127.13923946,36.83366911],[127.1392222,36.83352884],[127.13917108,36.83339396],[127.13908807,36.83326966],[127.13897635,36.8331607],[127.13884022,36.83307129],[127.13868492,36.83300484],[127.1385164,36.83296393],[127.13834115,36.83295011],[127.13816589,36.83296393],[127.13799738,36.83300484],[127.13784207,36.83307129],[127.13770594,36.8331607],[127.13759423,36.83326966],[127.13751121,36.83339396],[127.13746009,36.83352884],[127.13744283,36.83366911],[127.13746009,36.83380938],[127.13751121,36.83394425],[127.13759423,36.83406856],[127.13770594,36.83417751],[127.13784207,36.83426693],[127.13799738,36.83433337],[127.13816589,36.83437428],[127.13834115,36.8343881],[127.1385164,36.83437428],[127.13868492,36.83433337],[127.13884022,36.83426693],[127.13897635,36.83417751],[127.13908807,36.83406856],[127.13917108,36.83394425],[127.1392222,36.83380938],[127.13923946,36.83366911]]]}",이륜차 사고다발지역
6773986,2022032,4413310200,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 성정동(천안배원예농협천안지 부근),4,6,0,4,2,0,127.137291197732,36.818521310311,"{""type"":""Polygon"",""coordinates"":[[[127.13818951,36.81852131],[127.13817225,36.81838101],[127.13812113,36.81824611],[127.13803812,36.81812178],[127.1379264,36.8180128],[127.13779027,36.81792337],[127.13763497,36.81785691],[127.13746645,36.81781599],[127.1372912,36.81780217],[127.13711595,36.81781599],[127.13694743,36.81785691],[127.13679212,36.81792337],[127.13665599,36.8180128],[127.13654428,36.81812178],[127.13646126,36.81824611],[127.13641014,36.81838101],[127.13639288,36.81852131],[127.13641014,36.81866161],[127.13646126,36.81879651],[127.13654428,36.81892084],[127.13665599,36.81902981],[127.13679212,36.81911925],[127.13694743,36.8191857],[127.13711595,36.81922662],[127.1372912,36.81924044],[127.13746645,36.81922662],[127.13763497,36.8191857],[127.13779027,36.81911925],[127.1379264,36.81902981],[127.13803812,36.81892084],[127.13812113,36.81879651],[127.13817225,36.81866161],[127.13818951,36.81852131]]]}",이륜차 사고다발지역
6814313,2023017,4413111800,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 신부동(터미널사거리 부근),4,5,0,4,1,0,127.158055189824,36.81879918267,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.15895351,36.81879918],[127.15893624,36.81865889],[127.15888512,36.81852398],[127.15880211,36.81839965],[127.15869039,36.81829068],[127.15855427,36.81820124],[127.15839896,36.81813479],[127.15823044,36.81809386],[127.15805519,36.81808005],[127.15787994,36.81809386],[127.15771142,36.81813479],[127.15755611,36.81820124],[127.15741998,36.81829068],[127.15730827,36.81839965],[127.15722525,36.81852398],[127.15717414,36.81865889],[127.15715687,36.81879918],[127.15717414,36.81893948],[127.15722525,36.81907438],[127.15730827,36.81919871],[127.15741998,36.81930768],[127.15755611,36.81939712],[127.15771142,36.81946357],[127.15787994,36.81950449],[127.15805519,36.81951831],[127.15823044,36.81950449],[127.15839896,36.81946357],[127.15855427,36.81939712],[127.15869039,36.81930768],[127.15880211,36.81919871],[127.15888512,36.81907438],[127.15893624,36.81893948],[127.15895351,36.81879918]]]]}",이륜차 사고다발지역
6814653,2023017,4413310400,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 두정동(현대자동차 사거리 부근),5,8,0,5,2,1,127.139026493682,36.833654772811,"{""type"":""MultiPolygon"",""coordinates"":[[[[127.13992481,36.83365477],[127.13990755,36.8335145],[127.13985643,36.83337963],[127.13977342,36.83325532],[127.1396617,36.83314637],[127.13952557,36.83305695],[127.13937026,36.83299051],[127.13920175,36.83294959],[127.13902649,36.83293578],[127.13885124,36.83294959],[127.13868272,36.83299051],[127.13852742,36.83305695],[127.13839129,36.83314637],[127.13827957,36.83325532],[127.13819656,36.83337963],[127.13814544,36.8335145],[127.13812818,36.83365477],[127.13814544,36.83379504],[127.13819656,36.83392992],[127.13827957,36.83405422],[127.13839129,36.83416318],[127.13852742,36.83425259],[127.13868272,36.83431903],[127.13885124,36.83435995],[127.13902649,36.83437376],[127.13920175,36.83435995],[127.13937026,36.83431903],[127.13952557,36.83425259],[127.1396617,36.83416318],[127.13977342,36.83405422],[127.13985643,36.83392992],[127.13990755,36.83379504],[127.13992481,36.83365477]]]]}",이륜차 사고다발지역
