index,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,lat,lon
0,1,유치원,천안초등학교병설유치원,1,13,31122,충남 천안시 동남구 중앙로 169,041-563-9807,36.8138830668919,127.151705434724
2,3,유치원,천안남산초등학교병설유치원,2,20,31132,충남 천안시 동남구 버들1길30,041-556-2910,36.8050169160707,127.153906715873
4,5,유치원,천안부대초등학교병설유치원,1,18,31080,충남 천안시 서북구 공대길 37,041-551-2461,36.8490508825796,127.152169564917
5,6,유치원,천안업성초등학교병설유치원,1,6,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,36.8617050085863,127.14127651154
6,7,유치원,천안청수초등학교병설유치원,5,38,31190,충남 천안시 동남구 청수로 35-3,041-551-6700,36.7891650639147,127.150688697355
7,8,유치원,천안신안초등학교병설유치원,3,40,31125,충남 천안시 동남구 원성25길 21,041-622-7605,36.814027456188,127.162460181774
9,10,유치원,천안봉명초등학교병설유치원,3,15,31151,충남 천안시 동남구 봉명2길 11,041-576-3236,36.8053822761039,127.135023135879
10,11,유치원,천안구성초등학교병설유치원,2,14,31194,충남 천안시 동남구 청수로 126,041-569-8749,36.7927268971258,127.158520638288
11,12,유치원,천안봉서초등학교병설유치원,2,12,31148,충남 천안시 동남구 봉서10길 12,041-577-3327,36.8125053122023,127.131216293148
12,13,유치원,천안미라초등학교병설유치원,5,23,31155,충남 천안시 서북구 미라2길 13,041-571-0147,36.8008876525931,127.128404104799
13,14,유치원,천안쌍용초등학교병설유치원,5,27,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,36.8017332097663,127.122991044367
14,15,유치원,천안용소초등학교병설유치원,1,6,31184,충남 천안시 동남구 일봉로 82-18,041-579-8145,36.7894892316876,127.135922906319
15,16,유치원,천안청당초등학교병설유치원,3,37,31211,충남 천안시 동남구 청당2길 94,041-523-2595,36.7800339042007,127.151531155565
16,17,유치원,천안가온초등학교병설유치원,2,20,31200,충남 천안시 동남구 청수14로 21,041-522-1732,36.7852853321096,127.148888612768
17,18,유치원,풍세초등학교병설유치원,2,24,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-553-3846,36.7260732138124,127.117998463379
18,19,유치원,용정초등학교병설유치원,1,4,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7188,36.7450290871864,127.101530643928
19,20,유치원,미죽초등학교병설유치원,1,8,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-565-0238,36.7378837975117,127.151063119345
20,21,유치원,광덕초등학교병설유치원,1,5,31221,충남 천안시 동남구 광덕면 신흥리3길 36 ,041-567-6696,36.6986972265802,127.110262037846
22,23,유치원,보산원초등학교병설유치원,1,3,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,36.6855929173474,127.075778030134
