위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.84485902,127.1510491,LED,231,1,0,0,1218.0922263965265,0,307.3384709912702,5,31.07
36.84481622,127.1506896,LED,240,1,0,0,1186.2447309570289,0,301.394432579206,5,31.15
36.84447441,127.1512765,LED,223,1,1,0,1224.7252166195956,0,354.5831887263871,5,31.56
36.84443417,127.1510297,LED,238,1,1,0,1202.3875102233517,0,351.01465952756007,5,31.61
36.84441637,127.1508559,LED,242,1,1,0,1186.988364487897,0,348.2191860748047,5,31.65
36.84439418,127.1505924,LED,251,1,1,0,1163.8034173691422,0,344.76234674067564,5,31.7
36.84463022,127.1509853,LED,230,1,1,0,1204.8966930551378,0,329.12572713559666,5,31.71
36.84452786,127.1499816,LED,243,0,0,0,1116.3480834698853,0,322.35877298423657,5,32.0
36.84467461,127.1497296,LED,237,0,0,0,1100.3347878528086,0,305.4086203410044,5,32.11
36.84470643,127.1495111,LED,234,0,0,0,1083.1935404154283,0,302.632583188786,5,32.15
36.84394751,127.1510792,LED,222,0,1,0,1192.658648031765,0,403.8640004958402,5,32.22
36.84389588,127.1509418,LED,221,0,1,0,1179.42337393085,0,406.0035473701478,5,32.23
36.84407137,127.1511159,LED,221,0,1,0,1199.15872216945,0,391.71110050310295,5,32.26
36.84386006,127.1507595,LED,223,0,1,0,1162.7195057589013,0,405.9678455292831,5,32.26
36.84424713,127.1510798,LED,229,0,1,0,1201.0345443711683,0,372.1448554519628,5,32.35
36.81066881,127.1033879,LED,210,7,1,0,353.95128162677094,1,158.34616544012638,5,32.43
36.84441034,127.1502841,LED,248,0,1,0,1138.0622731422052,0,338.09978618693776,5,32.61
36.80958621,127.1048349,LED,224,7,3,0,314.3535908803357,1,156.29754621240974,5,32.89
36.84490181,127.1514085,LED,208,1,1,0,1249.9563276242834,0,316.4889091338003,5,32.93
