위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급
36.8065637,127.1612516,LED,88,3,3,0,1024.6483780996004,0,518.6615050748187,5
36.80643461,127.1612031,LED,87,3,3,0,1016.977168981266,0,530.7465608523489,5
36.80637381,127.1611833,LED,88,3,3,0,1013.6844114094692,0,536.5757684581998,5
36.80631302,127.1611552,LED,91,3,3,0,1009.7094280379648,0,542.2005663948647,5
36.80625901,127.1611186,LED,89,2,3,0,1005.1974453825034,0,546.9144882113502,5
36.80826253,127.1621875,LED,62,2,1,0,1163.6967902138322,0,396.3613759652312,5
36.80788234,127.1617944,LED,75,2,1,0,1115.5211964289692,0,408.76611769279486,5
36.80767747,127.1617015,LED,78,4,1,0,1099.7583532118188,0,423.632305481336,5
36.80742758,127.1615749,LED,80,3,2,0,1079.8374305990765,0,442.3336497204221,5
36.80707183,127.1614369,LED,87,3,3,0,1055.893207657798,0,472.50537898727873,5
36.80946064,127.1640923,LED,42,1,1,0,1169.2309790651163,0,461.037118105824,5
36.80960895,127.1643644,LED,40,1,1,0,1166.0814061780231,0,478.3486584133069,5
36.80904704,127.163433,LED,46,1,1,0,1185.3647339523147,0,427.5341084905021,5
36.80926509,127.1637725,LED,42,1,1,0,1175.9860934003402,0,443.3003474459545,5
36.8084922,127.1625307,LED,57,2,1,0,1201.7398986270116,0,399.2301946011215,5
36.80877056,127.162987,LED,51,2,1,0,1198.4455629194356,0,410.8212560940569,5
36.79209307,127.1439104,CML,95,2,0,0,764.2104585701135,0,685.8051930923641,4
36.79200778,127.1436469,CML,95,2,0,0,778.8017084346628,0,702.2250152232111,4
36.79192248,127.1433947,CML,96,2,0,0,793.6653975177618,0,718.2502537740571,4
36.79183263,127.143176,CML,93,2,0,0,808.6222036391237,0,696.457114842511,4
36.79173385,127.1428902,CML,95,0,0,0,826.6612674396952,0,668.7467422267908,4
36.79158124,127.1424081,CML,105,1,0,0,856.7992560026371,0,622.5858781319039,4
36.79242556,127.1446673,CML,104,2,0,0,715.9415962255034,0,647.2604465232205,4
36.79257406,127.1448132,CML,109,2,0,0,697.9009463543019,0,646.0864161614137,4
36.79148701,127.142083,CML,107,1,0,0,877.013330793323,0,591.8193595730662,4
36.79164406,127.1426211,CML,105,0,0,0,843.7882962280405,0,642.7894681469356,4
36.79229968,127.1444374,CML,94,2,0,0,732.8161566323865,0,656.7847862015615,4
36.79218287,127.1441626,CML,93,2,0,0,749.8867160842377,0,671.0614346028722,4
36.79045818,127.127561,LED,96,8,9,0,460.6193480143222,1,137.33533793088458,5
36.79059384,127.1270962,LED,96,8,8,0,427.5808689884427,1,99.95625857535876,5
36.7905634,127.1273304,LED,96,8,8,0,440.2926084379823,1,119.12473597902144,5
36.79067523,127.1268275,LED,100,10,7,0,409.1277106351764,1,81.61164951562701,5
36.79038758,127.1282667,LED,97,11,9,0,501.718688904944,1,199.4120739556416,5
36.79036757,127.1280286,LED,96,9,9,0,491.3524048655064,1,178.1419777839155,5
36.79040386,127.1277934,LED,92,8,9,0,476.5334095227505,1,157.41310998394974,5
36.79072199,127.1273457,LED,95,8,8,0,425.61941409638894,1,125.67593471144478,5
36.79089991,127.1273852,LED,93,8,8,0,410.4917190846809,1,137.16673034284383,5
36.7908131,127.1264076,LED,104,10,5,0,380.8238833684903,1,64.85706278868221,5
36.79091265,127.1260016,LED,101,11,4,0,359.3087644386615,2,66.53075162886209,5
36.79102533,127.1259626,LED,102,10,3,0,346.3070850463192,2,79.2369811542527,5
36.80789011,127.1489492,LED,151,7,6,1,222.73297865389392,1,277.8219233380317,5
36.80755028,127.1486824,LED,153,8,6,1,261.4884862955091,1,266.22627849583125,5
36.8075254,127.148758,LED,149,8,6,1,263.75651082769474,1,259.4123841892134,5
36.80739041,127.1486176,LED,152,8,6,1,279.72779205354504,1,258.9926384302301,5
36.80734529,127.1486736,LED,150,8,6,1,284.2675789674291,1,251.9638468780126,5
36.80725309,127.1485417,LED,151,10,6,1,295.64750907257405,1,255.1852710141497,5
36.80708187,127.1485442,LED,145,9,6,0,314.5354471703856,1,244.50681955914092,5
36.80702571,127.148418,LED,146,10,6,0,322.1560111018174,1,251.051296674352,5
36.80699632,127.148502,LED,141,10,6,0,324.4167192180082,1,242.9281500192004,5
36.80686587,127.1483337,LED,142,10,6,0,328.75308364975825,1,249.71718778966732,5
36.80685901,127.1484121,LED,139,9,6,0,324.787538060076,1,243.065422070844,5
36.80674204,127.1482718,LED,136,10,5,0,319.51801883960854,1,249.4227527230572,5
36.80668341,127.1483193,LED,134,10,5,0,311.753406418662,1,243.1611673761793,5
36.80768752,127.1488227,LED,151,7,6,1,245.4615371572964,1,268.09135030358374,5
36.80798245,127.148969,LED,154,7,6,1,212.48294016430603,1,284.89366269008525,5
36.80809503,127.1490168,LED,153,7,6,1,200.07492714753212,1,292.58386174069653,5
36.80800509,127.1488822,LED,155,7,6,1,209.99770668695373,1,291.57079918472203,5
36.80775964,127.1487976,LED,154,7,6,1,237.5539588034381,1,275.4958978359069,5
36.80813565,127.1489637,LED,151,7,6,1,195.44305610962587,1,298.989098354156,5
36.80823461,127.1490899,LED,158,7,6,1,184.93541434716656,0,301.9966668581465,5
36.80826174,127.1490115,LED,157,7,6,1,181.5328083089187,0,308.27733837682774,5
36.8083292,127.1491097,LED,165,7,6,1,174.59625459813986,0,310.0736307407987,5
36.80833831,127.1490341,LED,164,7,6,1,173.11534362764246,0,314.41650764714404,5
36.80844637,127.1490903,LED,172,7,5,1,161.46656948118795,0,322.2077226163431,5
36.80846653,127.1491828,LED,174,7,5,1,160.15683008539634,0,320.18278366890075,5
36.80857236,127.1492223,LED,175,7,5,1,149.07193088570327,0,329.00423518848027,5
36.80859272,127.1491523,LED,175,7,5,1,145.88700248502806,0,333.8581433461716,5
36.80867141,127.1492841,LED,179,7,5,1,139.35554849134738,0,336.5156560460929,5
36.80868277,127.1492029,LED,177,7,5,1,136.68112717086825,0,340.7711640292477,5
36.72518968,127.1237476,CDM,29,0,0,0,5552.592502971242,0,521.7177060002626,4
36.72565362,127.1238799,CDM,33,0,0,0,5499.685398518473,0,526.2458594188838,4
36.7259059,127.1239195,CDM,35,0,0,0,5471.61657982769,0,528.0297711788995,4
36.72618519,127.1239675,CDM,38,0,0,0,5440.454617424804,0,532.1245579087653,4
36.72642398,127.1239819,CDM,39,0,0,0,5414.394158135614,0,534.6858858658503,4
36.72671007,127.1239936,CDM,39,0,0,0,5383.300099742037,0,538.9755532359956,4
36.72691957,127.1240079,CDM,39,0,0,0,5360.409615850437,0,543.7824744210794,4
36.72887955,127.1239663,CDM,27,0,0,0,5150.454996038584,0,616.6467628877124,4
36.7285709,127.1239881,CDM,30,0,0,0,5183.126224531544,0,601.7336283798408,4
36.72720569,127.1239888,CDM,39,0,0,0,5330.008685280292,0,548.5237654443963,4
36.72809558,127.1239622,CDM,35,0,0,0,5234.8243632737085,0,577.1150213179673,4
36.72831409,127.1239737,CDM,33,0,0,0,5211.064360465164,0,587.9367093787662,4
36.72740621,127.1239751,CDM,39,0,0,0,5308.720157779069,0,552.8905865840632,4
36.72761573,127.1239614,CDM,39,0,0,0,5286.471545930385,0,558.423878298045,4
36.72784328,127.1239478,CDM,38,0,0,0,5262.290170027667,0,565.5701178329678,4
36.72542389,127.1238236,CDM,32,0,0,0,5525.684315795028,0,524.153282838624,4
36.72866819,127.1235769,CDM,29,0,0,0,5182.18006634951,0,574.8282196788072,4
36.72838441,127.1235065,CDM,33,0,0,0,5214.275019536637,0,554.0890864222939,4
36.72806909,127.123436,CDM,37,0,0,0,5249.757904269609,0,533.0052071990344,4
36.72772449,127.1233599,CDM,39,0,0,0,5288.515751599495,0,511.8873443062044,4
36.72742945,127.1232838,CDM,42,0,0,0,5321.955647087306,0,494.5935915632406,4
36.72716371,127.1231995,CDM,42,0,0,0,5352.441359575565,0,479.1272440386505,4
36.72700618,127.1230425,CDM,43,0,0,0,5373.007956138289,0,461.3526762167461,4
36.72704044,127.1225836,CDM,47,1,0,0,5380.214353581111,0,422.5554588362846,4
36.72708608,127.1220155,CDM,49,2,0,0,5389.210950458704,0,375.30605096592194,4
36.72714766,127.1212796,CDM,49,2,0,0,5401.293108379649,0,315.88776321532026,4
36.72720018,127.1205884,CDM,33,2,0,0,5413.912048450688,2,262.6441099603759,4
36.72724589,127.1199364,CDM,33,3,0,0,5426.839695021577,2,216.4094140627312,4
36.72888433,127.1237032,CDM,27,0,0,0,5156.034914426272,0,596.8190079727156,4
36.74394552,127.2134996,LED,19,0,0,0,3157.5365803328136,0,2208.3863269552267,5
36.74530298,127.2136246,LED,21,0,0,0,3025.212455343096,0,2212.113244714876,5
36.7455911,127.2129219,LED,21,0,0,0,2969.641474759642,0,2278.529018082093,5
36.74411595,127.2114174,LED,18,0,0,0,3068.6012516218207,0,2394.757807934749,5
36.74338598,127.211449,LED,14,0,0,0,3145.440316521913,0,2387.8856782591906,5
36.74697727,127.2137879,LED,13,0,0,0,2864.974115390332,0,2230.0960126117543,5
36.74670368,127.2130929,LED,14,0,0,0,2864.346001608171,0,2284.45641490251,5
36.74606014,127.2126656,LED,17,0,0,0,2912.7156954977286,0,2309.062185321475,5
36.74516903,127.2121089,LED,21,0,0,0,2983.254505366788,0,2344.2388973712964,5
36.74300589,127.2123605,LED,16,0,0,0,3214.206677856519,0,2305.6526889826314,5
36.74339407,127.2119697,LED,16,0,0,0,3161.259346482946,0,2341.5462007902734,5
36.74459255,127.211973,LED,20,0,0,0,3037.716724311345,0,2349.5811820142417,5
36.74321645,127.2130329,LED,17,0,0,0,3215.286887980022,0,2246.253147559306,5
36.74467459,127.2139663,LED,21,0,0,0,3101.3874848467594,0,2173.682008700995,5
36.74478608,127.2146048,LED,20,0,0,0,3115.1670277825915,0,2118.4354117914645,5
36.74511193,127.2137995,LED,21,0,0,0,3051.100490729921,0,2193.941721828816,5
36.74537895,127.2131396,LED,21,0,0,0,2999.1867074290917,0,2256.0659260871907,5
36.74632091,127.2129743,LED,16,0,0,0,2898.107027973945,0,2286.891487644518,5
36.74361278,127.2131235,LED,18,0,0,0,3177.918045634721,0,2239.8025109650007,5
36.74440034,127.2136352,LED,21,0,0,0,3116.492070090174,0,2200.16173544269,5
36.74472674,127.2150301,LED,17,0,0,0,3138.134993639898,0,2080.0440491868217,5
36.74501486,127.2143274,LED,20,0,0,0,3081.390346886344,0,2145.937763989169,5
36.72724102,127.1180529,LED,37,3,0,0,5481.832341020688,2,129.94472153099233,5
36.72696481,127.1194182,LED,33,3,0,0,5471.004905780358,2,160.74494124574986,5
36.72721786,127.1186797,LED,36,3,0,0,5465.62282327152,2,141.01784743168258,5
36.72659837,127.1163727,LED,40,3,0,0,5600.943791304957,2,156.21720922501126,5
36.7263824,127.1160645,LED,39,2,0,0,5633.221663307809,2,175.75588950314182,5
36.72615299,127.1156724,LED,38,1,0,0,5669.663572933582,2,207.4956553782658,5
36.72596874,127.1151795,LED,36,1,0,0,5704.848944886314,2,251.50346029083164,5
36.72722382,127.1172188,LED,37,3,0,0,5509.210756450444,2,145.59286892922674,5
36.72716306,127.1194129,LED,33,3,0,0,5450.249675475654,2,174.86150360993682,5
36.72687062,127.1167201,LED,42,3,0,0,5561.62739220501,2,144.36841316797612,5
36.72635849,127.1128181,LED,28,0,0,0,5746.318364428779,0,462.7778168038819,5
36.72588361,127.1146869,LED,33,1,0,0,5730.00298954006,2,295.88934043414304,5
36.72614614,127.1134279,LED,32,0,0,0,5746.279735642092,0,407.42344669733706,5
36.72590236,127.1139313,LED,31,0,0,0,5753.73164688209,0,362.9762698113373,5
36.72631428,127.1233157,CDM,40,0,0,0,5441.035521568082,0,474.64556289928913,4
36.72673344,127.1231876,CDM,42,0,0,0,5398.9186182601725,0,468.26083541155487,4
36.72688928,127.122796,CDM,44,1,0,0,5391.344476510098,0,437.0922473384041,4
