관리기관,관리부서,관리번호,위도,경도,소재지도로명주소,소재지지번주소,설치형태,데이터기준일자,주변 학교 수,가장 가까운 학교와의 거리,광원 등급
천안시 동남구,건설과,2156,36.8065637,127.1612516,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,518.6615050748187,5
천안시 동남구,건설과,2157,36.80643461,127.1612031,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,530.7465608523489,5
천안시 동남구,건설과,2158,36.80637381,127.1611833,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,536.5757684581998,5
천안시 동남구,건설과,2159,36.80631302,127.1611552,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,542.2005663948647,5
천안시 동남구,건설과,2160,36.80625901,127.1611186,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,546.9144882113502,5
천안시 동남구,건설과,381,36.80826253,127.1621875,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,396.3613759652312,5
천안시 동남구,건설과,382,36.80788234,127.1617944,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,408.76611769279486,5
천안시 동남구,건설과,383,36.80767747,127.1617015,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,423.632305481336,5
천안시 동남구,건설과,384,36.80742758,127.1615749,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,442.3336497204221,5
천안시 동남구,건설과,385,36.80707183,127.1614369,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,472.50537898727873,5
천안시 동남구,건설과,386,36.80946064,127.1640923,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,461.037118105824,5
천안시 동남구,건설과,387,36.80960895,127.1643644,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,478.3486584133069,5
천안시 동남구,건설과,388,36.80904704,127.163433,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,427.5341084905021,5
천안시 동남구,건설과,389,36.80926509,127.1637725,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,443.3003474459545,5
천안시 동남구,건설과,390,36.8084922,127.1625307,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,399.2301946011215,5
천안시 동남구,건설과,391,36.80877056,127.162987,원성천2길 140 도서총판 새길도서,동남구 원성동 603,LED,2024-07-23,0,410.8212560940569,5
천안시 동남구,건설과,,36.79209307,127.1439104,,동남구 용곡동 320-5,CML,2024-07-23,0,685.8051930923641,4
천안시 동남구,건설과,,36.79200778,127.1436469,,동남구 용곡동 320-5,CML,2024-07-23,0,702.2250152232111,4
천안시 동남구,건설과,,36.79192248,127.1433947,,동남구 용곡동 320-5,CML,2024-07-23,0,718.2502537740571,4
천안시 동남구,건설과,,36.79183263,127.143176,,동남구 용곡동 320-5,CML,2024-07-23,0,696.457114842511,4
천안시 동남구,건설과,,36.79173385,127.1428902,,동남구 용곡동 320-5,CML,2024-07-23,0,668.7467422267908,4
천안시 동남구,건설과,,36.79158124,127.1424081,,동남구 용곡동 320-5,CML,2024-07-23,0,622.5858781319039,4
천안시 동남구,건설과,,36.79242556,127.1446673,,동남구 용곡동 320-5,CML,2024-07-23,0,647.2604465232205,4
천안시 동남구,건설과,,36.79257406,127.1448132,,동남구 용곡동 320-5,CML,2024-07-23,0,646.0864161614137,4
천안시 동남구,건설과,,36.79148701,127.142083,,동남구 용곡동 320-5,CML,2024-07-23,0,591.8193595730662,4
천안시 동남구,건설과,,36.79164406,127.1426211,,동남구 용곡동 320-5,CML,2024-07-23,0,642.7894681469356,4
