사고다발지fid,사고다발지id,법규위반,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤,연도,구분
6712812,2021053,중앙선침범,4413111600,44131001,충청남도 천안시 동남구1,충청남도 천안시 동남구 신방동(재활용센터 부근),3,4,0,2,2,0,127.13886988294,36.773632964291,"{""type"":""Polygon"",""coordinates"":[[[127.14156483,36.77363296],[127.14151305,36.77321183],[127.14135969,36.77280687],[127.14111065,36.77243366],[127.1407755,36.77210654],[127.14036711,36.77183807],[127.13990119,36.77163859],[127.13939564,36.77151574],[127.13886988,36.77147426],[127.13834413,36.77151574],[127.13783857,36.77163859],[127.13737265,36.77183807],[127.13696427,36.77210654],[127.13662912,36.77243366],[127.13638008,36.77280687],[127.13622672,36.77321183],[127.13617494,36.77363296],[127.13622672,36.7740541],[127.13638008,36.77445905],[127.13662912,36.77483225],[127.13696427,36.77515936],[127.13737265,36.77542781],[127.13783857,36.77562729],[127.13834413,36.77575013],[127.13886988,36.7757916],[127.13939564,36.77575013],[127.13990119,36.77562729],[127.14036711,36.77542781],[127.1407755,36.77515936],[127.14111065,36.77483225],[127.14135969,36.77445905],[127.14151305,36.7740541],[127.14156483,36.77363296]]]}",2021,법규위반별 사고다발구간
6712972,2021053,중앙선침범,4413111300,44131002,충청남도 천안시 동남구2,충청남도 천안시 동남구 봉명동(하나공구 부근),3,3,0,1,2,0,127.1416031061,36.802722656426,"{""type"":""Polygon"",""coordinates"":[[[127.14429805,36.80272266],[127.14424627,36.80230168],[127.14409291,36.80189688],[127.14384387,36.80152381],[127.14350872,36.80119681],[127.14310034,36.80092845],[127.14263442,36.80072904],[127.14212886,36.80060624],[127.14160311,36.80056478],[127.14107735,36.80060624],[127.14057179,36.80072904],[127.14010587,36.80092845],[127.13969749,36.80119681],[127.13936234,36.80152381],[127.1391133,36.80189688],[127.13895994,36.80230168],[127.13890816,36.80272266],[127.13895994,36.80314363],[127.1391133,36.80354843],[127.13936234,36.80392148],[127.13969749,36.80424847],[127.14010587,36.80451682],[127.14057179,36.80471622],[127.14107735,36.80483902],[127.14160311,36.80488048],[127.14212886,36.80483902],[127.14263442,36.80471622],[127.14310034,36.80451682],[127.14350872,36.80424847],[127.14384387,36.80392148],[127.14409291,36.80354843],[127.14424627,36.80314363],[127.14429805,36.80272266]]]}",2021,법규위반별 사고다발구간
6712635,2021053,중앙선침범,4413111800,44131003,충청남도 천안시 동남구3,충청남도 천안시 동남구 신부동(방죽안오거리 부근),3,5,0,0,5,0,127.152078383212,36.81893509468,"{""type"":""Polygon"",""coordinates"":[[[127.15477333,36.81893509],[127.15472155,36.81851421],[127.15456819,36.81810949],[127.15431915,36.8177365],[127.153984,36.81740957],[127.15357561,36.81714127],[127.15310969,36.8169419],[127.15260414,36.81681913],[127.15207838,36.81677767],[127.15155263,36.81681913],[127.15104707,36.8169419],[127.15058115,36.81714127],[127.15017277,36.81740957],[127.14983762,36.8177365],[127.14958858,36.81810949],[127.14943522,36.81851421],[127.14938344,36.81893509],[127.14943522,36.81935598],[127.14958858,36.81976069],[127.14983762,36.82013367],[127.15017277,36.82046059],[127.15058115,36.82072888],[127.15104707,36.82092824],[127.15155263,36.82105101],[127.15207838,36.82109246],[127.15260414,36.82105101],[127.15310969,36.82092824],[127.15357561,36.82072888],[127.153984,36.82046059],[127.15431915,36.82013367],[127.15456819,36.81976069],[127.15472155,36.81935598],[127.15477333,36.81893509]]]}",2021,법규위반별 사고다발구간
6712895,2021053,중앙선침범,4413310400,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 두정동(대우1차아파트104동 부근),5,6,0,1,5,0,127.145628914044,36.834033609265,"{""type"":""Polygon"",""coordinates"":[[[127.14832386,36.83403361],[127.14827208,36.8336128],[127.14811872,36.83320817],[127.14786968,36.83283525],[127.14753453,36.83250839],[127.14712615,36.83224013],[127.14666023,36.8320408],[127.14615467,36.83191806],[127.14562891,36.83187661],[127.14510316,36.83191806],[127.1445976,36.8320408],[127.14413168,36.83224013],[127.1437233,36.83250839],[127.14338815,36.83283525],[127.14313911,36.83320817],[127.14298575,36.8336128],[127.14293397,36.83403361],[127.14298575,36.83445441],[127.14313911,36.83485904],[127.14338815,36.83523195],[127.1437233,36.8355588],[127.14413168,36.83582704],[127.1445976,36.83602636],[127.14510316,36.8361491],[127.14562891,36.83619055],[127.14615467,36.8361491],[127.14666023,36.83602636],[127.14712615,36.83582704],[127.14753453,36.8355588],[127.14786968,36.83523195],[127.14811872,36.83485904],[127.14827208,36.83445441],[127.14832386,36.83403361]]]}",2021,법규위반별 사고다발구간
6713414,2021054,신호위반,4413310800,44133001,충청남도 천안시 서북구1,충청남도 천안시 서북구 불당동(고속철도사거리 부근),8,15,0,1,14,0,127.105378293575,36.801562277378,"{""type"":""Polygon"",""coordinates"":[[[127.10627661,36.80156228],[127.10625935,36.80142195],[127.10620823,36.80128701],[127.10612522,36.80116266],[127.1060135,36.80105366],[127.10587737,36.8009642],[127.10572206,36.80089773],[127.10555355,36.8008568],[127.10537829,36.80084298],[127.10520304,36.8008568],[127.10503452,36.80089773],[127.10487922,36.8009642],[127.10474309,36.80105366],[127.10463137,36.80116266],[127.10454836,36.80128701],[127.10449724,36.80142195],[127.10447998,36.80156228],[127.10449724,36.8017026],[127.10454836,36.80183754],[127.10463137,36.80196189],[127.10474309,36.80207089],[127.10487922,36.80216035],[127.10503452,36.80222682],[127.10520304,36.80226775],[127.10537829,36.80228157],[127.10555355,36.80226775],[127.10572206,36.80222682],[127.10587737,36.80216035],[127.1060135,36.80207089],[127.10612522,36.80196189],[127.10620823,36.80183754],[127.10625935,36.8017026],[127.10627661,36.80156228]]]}",2021,법규위반별 사고다발구간
6712959,2021053,중앙선침범,4413310400,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 두정동(천안성정중학교 부근),5,5,0,0,4,1,127.136943728471,36.830365494073,"{""type"":""Polygon"",""coordinates"":[[[127.13963867,36.83036549],[127.13958689,36.82994467],[127.13943353,36.82954001],[127.13918449,36.82916708],[127.13884934,36.8288402],[127.13844096,36.82857193],[127.13797504,36.82837259],[127.13746949,36.82824984],[127.13694373,36.82820839],[127.13641797,36.82824984],[127.13591242,36.82837259],[127.1354465,36.82857193],[127.13503811,36.8288402],[127.13470296,36.82916708],[127.13445392,36.82954001],[127.13430057,36.82994467],[127.13424878,36.83036549],[127.13430057,36.83078632],[127.13445392,36.83119097],[127.13470296,36.83156389],[127.13503811,36.83189076],[127.1354465,36.83215901],[127.13591242,36.83235834],[127.13641797,36.83248109],[127.13694373,36.83252254],[127.13746949,36.83248109],[127.13797504,36.83235834],[127.13844096,36.83215901],[127.13884934,36.83189076],[127.13918449,36.83156389],[127.13943353,36.83119097],[127.13958689,36.83078632],[127.13963867,36.83036549]]]}",2021,법규위반별 사고다발구간
6713391,2021054,신호위반,4413310700,44133002,충청남도 천안시 서북구2,충청남도 천안시 서북구 쌍용동(일봉산사거리 부근),7,9,0,2,6,1,127.130371458677,36.797892471461,"{""type"":""Polygon"",""coordinates"":[[[127.13126977,36.79789247],[127.13125251,36.79775214],[127.13120139,36.7976172],[127.13111838,36.79749283],[127.13100666,36.79738383],[127.13087054,36.79729437],[127.13071523,36.7972279],[127.13054671,36.79718696],[127.13037146,36.79717314],[127.13019621,36.79718696],[127.13002769,36.7972279],[127.12987238,36.79729437],[127.12973625,36.79738383],[127.12962454,36.79749283],[127.12954152,36.7976172],[127.1294904,36.79775214],[127.12947314,36.79789247],[127.1294904,36.79803281],[127.12954152,36.79816775],[127.12962454,36.79829211],[127.12973625,36.79840111],[127.12987238,36.79849057],[127.13002769,36.79855704],[127.13019621,36.79859798],[127.13037146,36.7986118],[127.13054671,36.79859798],[127.13071523,36.79855704],[127.13087054,36.79849057],[127.13100666,36.79840111],[127.13111838,36.79829211],[127.13120139,36.79816775],[127.13125251,36.79803281],[127.13126977,36.79789247]]]}",2021,법규위반별 사고다발구간
6712900,2021053,중앙선침범,4413310700,44133003,충청남도 천안시 서북구3,충청남도 천안시 서북구 쌍용동(IBK기업은행천안쌍용지점 부근),4,12,1,1,10,0,127.132481145889,36.806787480559,"{""type"":""Polygon"",""coordinates"":[[[127.13517609,36.80678748],[127.13512431,36.80636653],[127.13497095,36.80596175],[127.13472191,36.8055887],[127.13438676,36.80526172],[127.13397838,36.80499337],[127.13351246,36.80479397],[127.1330069,36.80467118],[127.13248115,36.80462971],[127.13195539,36.80467118],[127.13144983,36.80479397],[127.13098391,36.80499337],[127.13057553,36.80526172],[127.13024038,36.8055887],[127.12999134,36.80596175],[127.12983798,36.80636653],[127.1297862,36.80678748],[127.12983798,36.80720843],[127.12999134,36.80761321],[127.13024038,36.80798625],[127.13057553,36.80831322],[127.13098391,36.80858155],[127.13144983,36.80878094],[127.13195539,36.80890373],[127.13248115,36.80894519],[127.1330069,36.80890373],[127.13351246,36.80878094],[127.13397838,36.80858155],[127.13438676,36.80831322],[127.13472191,36.80798625],[127.13497095,36.80761321],[127.13512431,36.80720843],[127.13517609,36.80678748]]]}",2021,법규위반별 사고다발구간
6713403,2021054,신호위반,4413310400,44133003,충청남도 천안시 서북구3,충청남도 천안시 서북구 두정동(대우1차아파트107동 부근),7,9,0,2,6,1,127.145433086669,36.832725904178,"{""type"":""Polygon"",""coordinates"":[[[127.1463314,36.8327259],[127.14631414,36.83258563],[127.14626302,36.83245075],[127.14618001,36.83232645],[127.14606829,36.83221749],[127.14593216,36.83212807],[127.14577686,36.83206163],[127.14560834,36.83202071],[127.14543309,36.8320069],[127.14525783,36.83202071],[127.14508932,36.83206163],[127.14493401,36.83212807],[127.14479788,36.83221749],[127.14468616,36.83232645],[127.14460315,36.83245075],[127.14455203,36.83258563],[127.14453477,36.8327259],[127.14455203,36.83286617],[127.14460315,36.83300105],[127.14468616,36.83312536],[127.14479788,36.83323431],[127.14493401,36.83332373],[127.14508932,36.83339017],[127.14525783,36.83343109],[127.14543309,36.8334449],[127.14560834,36.83343109],[127.14577686,36.83339017],[127.14593216,36.83332373],[127.14606829,36.83323431],[127.14618001,36.83312536],[127.14626302,36.83300105],[127.14631414,36.83286617],[127.1463314,36.8327259]]]}",2021,법규위반별 사고다발구간
6712918,2021053,중앙선침범,4413310700,44133004,충청남도 천안시 서북구4,충청남도 천안시 서북구 쌍용동(쌍용동516 부근),3,7,1,3,3,0,127.129101092542,36.796337990607,"{""type"":""Polygon"",""coordinates"":[[[127.13179604,36.79633799],[127.13174426,36.79591698],[127.1315909,36.79551214],[127.13134186,36.79513904],[127.13100671,36.79481202],[127.13059832,36.79454363],[127.1301324,36.7943442],[127.12962685,36.7942214],[127.12910109,36.79417993],[127.12857533,36.7942214],[127.12806978,36.7943442],[127.12760386,36.79454363],[127.12719548,36.79481202],[127.12686033,36.79513904],[127.12661129,36.79551214],[127.12645793,36.79591698],[127.12640615,36.79633799],[127.12645793,36.796759],[127.12661129,36.79716383],[127.12686033,36.79753692],[127.12719548,36.79786393],[127.12760386,36.79813231],[127.12806978,36.79833173],[127.12857533,36.79845453],[127.12910109,36.79849599],[127.12962685,36.79845453],[127.1301324,36.79833173],[127.13059832,36.79813231],[127.13100671,36.79786393],[127.13134186,36.79753692],[127.1315909,36.79716383],[127.13174426,36.796759],[127.13179604,36.79633799]]]}",2021,법규위반별 사고다발구간
