연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처
1,유치원,천안초등학교병설유치원,1,13,31122,충남 천안시 동남구 중앙로 169,041-563-9807
2,유치원,천안중앙초등학교병설유치원,0,0,31129,충남 천안시 동남구 영성로 73,041-552-3559
3,유치원,천안남산초등학교병설유치원,2,20,31132,충남 천안시 동남구 버들1길30,041-556-2910
4,유치원,환서초등학교병설유치원,0,0,31097,충남 천안시 서북구 한들2로 34-41,041-551-8380
5,유치원,천안부대초등학교병설유치원,1,18,31080,충남 천안시 서북구 공대길 37,041-551-2461
6,유치원,천안업성초등학교병설유치원,1,6,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687
7,유치원,천안청수초등학교병설유치원,5,38,31190,충남 천안시 동남구 청수로 35-3,041-551-6700
8,유치원,천안신안초등학교병설유치원,3,40,31125,충남 천안시 동남구 원성25길 21,041-622-7605
9,유치원,안서초등학교병설유치원,0,0,31066,충남 천안시 동남구 중앙3길 10,041-551-4530
10,유치원,천안봉명초등학교병설유치원,3,15,31151,충남 천안시 동남구 봉명2길 11,041-576-3236
11,유치원,천안구성초등학교병설유치원,2,14,31194,충남 천안시 동남구 청수로 126,041-569-8749
12,유치원,천안봉서초등학교병설유치원,2,12,31148,충남 천안시 동남구 봉서10길 12,041-577-3327
13,유치원,천안미라초등학교병설유치원,5,23,31155,충남 천안시 서북구 미라2길 13,041-571-0147
14,유치원,천안쌍용초등학교병설유치원,5,27,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618
15,유치원,천안용소초등학교병설유치원,1,6,31184,충남 천안시 동남구 일봉로 82-18,041-579-8145
16,유치원,천안청당초등학교병설유치원,3,37,31211,충남 천안시 동남구 청당2길 94,041-523-2595
17,유치원,천안가온초등학교병설유치원,2,20,31200,충남 천안시 동남구 청수14로 21,041-522-1732
18,유치원,풍세초등학교병설유치원,2,24,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-553-3846
19,유치원,용정초등학교병설유치원,1,4,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7188
20,유치원,미죽초등학교병설유치원,1,8,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-565-0238
21,유치원,광덕초등학교병설유치원,1,5,31221,충남 천안시 동남구 광덕면 신흥리3길 36 ,041-567-6696
22,유치원,행정초등학교병설유치원,0,0,31223,충남 천안시 동남구 광덕면 광덕로 534,041-566-8388
23,유치원,보산원초등학교병설유치원,1,3,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344
24,유치원,목천초등학교병설유치원,1,6,31231,충남 천안시 동남구 목천읍 서리2길 31,041-555-2016
25,유치원,신계초등학교병설유치원,1,6,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1163
26,유치원,도장초등학교병설유치원,0,0,31225,충남 천안시 동남구 목천읍 도장1길 73,041-553-3022
27,유치원,신흥초등학교병설유치원,1,10,31233,충남 천안시 동남구 목천읍 신계5길 27,041-557-0383
28,유치원,위례초등학교병설유치원,1,4,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7363
29,유치원,은석초등학교병설유치원,1,6,31242,충남 천안시 동남구 북면 용암3길 10,041-556-4061
30,유치원,성남초등학교병설유치원,1,5,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032
31,유치원,신사초등학교병설유치원,1,3,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-7122
32,유치원,수신초등학교병설유치원,1,4,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0104
33,유치원,병천초등학교병설유치원,1,3,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021
34,유치원,천동초등학교병설유치원,1,5,31258,충남 천안시 동남구 동면 동산1길 59,041-553-4013
35,유치원,성환초등학교병설유치원,1,10,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555
36,유치원,성신초등학교병설유치원,1,5,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820
37,유치원,대홍초등학교병설유치원,0,0,31005,충남 천안시 서북구 성환읍 잠실길 4,041-581-1017
38,유치원,신가초등학교병설유치원,1,6,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-2705
39,유치원,신방초등학교병설유치원,1,8,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925
40,유치원,도하초등학교병설유치원,1,4,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503
41,유치원,직산초등학교병설유치원,1,1,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3708
42,유치원,삼은초등학교병설유치원,2,10,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046
43,유치원,양당초등학교병설유치원,0,0,31029,충남 천안시 서북구 직산읍 양당1길 9-12,041-584-0015
44,유치원,성거초등학교병설유치원,1,9,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684
45,유치원,입장초등학교병설유치원,1,3,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995
46,유치원,천안일봉유치원,8,70,31154,충남 천안시 동남구 다가2길 3,041-577-1923
47,유치원,천안도솔유치원,11,85,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791
48,유치원,천안성정유치원,6,64,31141,충남 천안시 서북구 성정7길 3,041-571-1057
49,유치원,천안버들유치원,13,208,31156,충남 천안시 서북구 불당23로 41,041-906-7771
50,유치원,천안성성유치원,12,156,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832
51,유치원,천안꽃마루유치원,12,176,31078,충남 천안시 서북구 성성6로 37,041-418-5040
52,유치원,천안불당유치원,14,208,31156,충남 천안시 서북구 불당27로 12,041-567-1571
53,유치원,천안신촌초등학교병설유치원,1,7,31177,충남 천안시 동남구 신촌4로 9,041-577-6858
54,유치원,소망초등학교병설유치원,1,3,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072
55,유치원,천안새샘초등학교병설유치원,1,4,31207,충남 천안시 동남구 통정9로 58,041-413-2390
56,유치원,양대초등학교병설유치원,0,0,31055,충남 천안시 서북구 입장면 성진로 858,041-584-5077
57,유치원,천안차암초등학교병설유치원,3,44,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502
