,index,연번,구분,학교명,학급수,학생수(명),우편번호,주소,연락처,학교_천안포함,lat,lon
0,0,1,유치원,천안초등학교병설유치원,1,13,31122,충남 천안시 동남구 중앙로 169,041-563-9807,True,36.8138830668919,127.151705434724
1,2,3,유치원,천안남산초등학교병설유치원,2,20,31132,충남 천안시 동남구 버들1길30,041-556-2910,True,36.8050169160707,127.153906715873
2,4,5,유치원,천안부대초등학교병설유치원,1,18,31080,충남 천안시 서북구 공대길 37,041-551-2461,True,36.8490508825796,127.152169564917
3,5,6,유치원,천안업성초등학교병설유치원,1,6,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,True,36.8617050085863,127.14127651154
4,6,7,유치원,천안청수초등학교병설유치원,5,38,31190,충남 천안시 동남구 청수로 35-3,041-551-6700,True,36.7891650639147,127.150688697355
5,7,8,유치원,천안신안초등학교병설유치원,3,40,31125,충남 천안시 동남구 원성25길 21,041-622-7605,True,36.814027456188,127.162460181774
6,9,10,유치원,천안봉명초등학교병설유치원,3,15,31151,충남 천안시 동남구 봉명2길 11,041-576-3236,True,36.8053822761039,127.135023135879
7,10,11,유치원,천안구성초등학교병설유치원,2,14,31194,충남 천안시 동남구 청수로 126,041-569-8749,True,36.7927268971258,127.158520638288
8,11,12,유치원,천안봉서초등학교병설유치원,2,12,31148,충남 천안시 동남구 봉서10길 12,041-577-3327,True,36.8125053122023,127.131216293148
9,12,13,유치원,천안미라초등학교병설유치원,5,23,31155,충남 천안시 서북구 미라2길 13,041-571-0147,True,36.8008876525931,127.128404104799
10,13,14,유치원,천안쌍용초등학교병설유치원,5,27,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,True,36.8017332097663,127.122991044367
11,14,15,유치원,천안용소초등학교병설유치원,1,6,31184,충남 천안시 동남구 일봉로 82-18,041-579-8145,True,36.7894892316876,127.135922906319
12,15,16,유치원,천안청당초등학교병설유치원,3,37,31211,충남 천안시 동남구 청당2길 94,041-523-2595,True,36.7800339042007,127.151531155565
13,16,17,유치원,천안가온초등학교병설유치원,2,20,31200,충남 천안시 동남구 청수14로 21,041-522-1732,True,36.7852853321096,127.148888612768
14,17,18,유치원,풍세초등학교병설유치원,2,24,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-553-3846,True,36.7260732138124,127.117998463379
15,18,19,유치원,용정초등학교병설유치원,1,4,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7188,True,36.7450290871864,127.101530643928
16,19,20,유치원,미죽초등학교병설유치원,1,8,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-565-0238,True,36.7378837975117,127.151063119345
17,20,21,유치원,광덕초등학교병설유치원,1,5,31221,충남 천안시 동남구 광덕면 신흥리3길 36 ,041-567-6696,True,36.6986972265802,127.110262037846
18,22,23,유치원,보산원초등학교병설유치원,1,3,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,True,36.6855929173474,127.075778030134
19,23,24,유치원,목천초등학교병설유치원,1,6,31231,충남 천안시 동남구 목천읍 서리2길 31,041-555-2016,True,36.7876937772989,127.235482046989
20,24,25,유치원,신계초등학교병설유치원,1,6,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1163,True,36.7687772111732,127.202391278899
21,26,27,유치원,신흥초등학교병설유치원,1,10,31233,충남 천안시 동남구 목천읍 신계5길 27,041-557-0383,True,36.7735534112013,127.21655783482
22,27,28,유치원,위례초등학교병설유치원,1,4,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7363,True,36.8245848453101,127.274323525732
23,28,29,유치원,은석초등학교병설유치원,1,6,31242,충남 천안시 동남구 북면 용암3길 10,041-556-4061,True,36.7882787925268,127.257563627281
24,29,30,유치원,성남초등학교병설유치원,1,5,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,True,36.7272765557759,127.250929581284
25,30,31,유치원,신사초등학교병설유치원,1,3,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-7122,True,36.7426721552908,127.238233215994
26,31,32,유치원,수신초등학교병설유치원,1,4,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0104,True,36.7329854057333,127.28333875063
27,32,33,유치원,병천초등학교병설유치원,1,3,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,True,36.7658767304547,127.300739370307
28,33,34,유치원,천동초등학교병설유치원,1,5,31258,충남 천안시 동남구 동면 동산1길 59,041-553-4013,True,36.7783635012066,127.347984414738
29,34,35,유치원,성환초등학교병설유치원,1,10,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,True,36.9181490987513,127.132510331711
